country,country_code,date,cumulative_vaccinations,daily_vaccinations
Afghanistan,AFG,2021-02-22,0.0,0.0
Afghanistan,AFG,2021-02-28,8200.0,8200.0
Afghanistan,AFG,2021-03-16,54000.0,45800.0
Afghanistan,AFG,2021-04-07,120000.0,66000.0
Afghanistan,AFG,2021-04-22,240000.0,120000.0
Afghanistan,AFG,2021-05-11,504502.0,264502.0
Afghanistan,AFG,2021-05-20,547901.0,43399.0
Afghanistan,AFG,2021-05-24,573277.0,25376.0
Afghanistan,AFG,2021-05-26,590454.0,17177.0
Afghanistan,AFG,2021-05-27,593313.0,2859.0
Afghanistan,AFG,2021-05-30,600152.0,6839.0
Afghanistan,AFG,2021-06-02,626290.0,26138.0
Afghanistan,AFG,2021-06-03,630305.0,4015.0
Afghanistan,AFG,2021-06-08,641295.0,10990.0
Afghanistan,AFG,2021-06-14,662003.0,20708.0
Afghanistan,AFG,2021-06-22,765890.0,103887.0
Afghanistan,AFG,2021-06-27,835694.0,69804.0
Afghanistan,AFG,2021-06-30,886854.0,51160.0
Afghanistan,AFG,2021-07-05,915671.0,28817.0
Afghanistan,AFG,2021-07-07,934463.0,18792.0
Afghanistan,AFG,2021-07-11,962093.0,27630.0
Afghanistan,AFG,2021-07-14,1024168.0,62075.0
Afghanistan,AFG,2021-07-18,1094257.0,70089.0
Afghanistan,AFG,2021-07-24,1171064.0,76807.0
Afghanistan,AFG,2021-08-20,1201286.0,30222.0
Afghanistan,AFG,2021-08-31,1979652.0,778366.0
Afghanistan,AFG,2021-09-30,2369625.0,389973.0
Afghanistan,AFG,2021-11-14,4018197.0,1648572.0
Afghanistan,AFG,2021-12-27,4674518.0,656321.0
Afghanistan,AFG,2022-01-09,4903368.0,228850.0
Afghanistan,AFG,2022-01-11,4925111.0,21743.0
Afghanistan,AFG,2022-01-13,4954809.0,29698.0
Afghanistan,AFG,2022-01-17,4985047.0,30238.0
Afghanistan,AFG,2022-01-19,5004050.0,19003.0
Afghanistan,AFG,2022-01-24,5046054.0,42004.0
Afghanistan,AFG,2022-01-26,5074196.0,28142.0
Afghanistan,AFG,2022-01-27,5081064.0,6868.0
Afghanistan,AFG,2022-01-31,5125146.0,44082.0
Afghanistan,AFG,2022-02-02,5152297.0,27151.0
Afghanistan,AFG,2022-02-07,5216998.0,64701.0
Afghanistan,AFG,2022-02-14,5321308.0,104310.0
Afghanistan,AFG,2022-02-20,5412309.0,91001.0
Afghanistan,AFG,2022-02-27,5535254.0,122945.0
Afghanistan,AFG,2022-03-06,5597130.0,61876.0
Afghanistan,AFG,2022-03-17,5731146.0,134016.0
Afghanistan,AFG,2022-03-22,5751015.0,19869.0
Afghanistan,AFG,2022-04-04,5872684.0,121669.0
