Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
USA,North America,331198130.0,63139605.0,190640.0,15194.0,492.0,18296.0
Brazil,South America,212710692.0,13206188.0,62085.0,13716.0,464.0,8318.0
India,Asia,1381344997.0,22149351.0,16035.0,1466.0,30.0,8944.0
Russia,Europe,145940924.0,29716907.0,203623.0,5974.0,100.0,2300.0
South Africa,Africa,59381566.0,3149807.0,53044.0,9063.0,162.0,539.0
Mexico,North America,129066160.0,1056915.0,8189.0,3585.0,391.0,3987.0
Peru,South America,33016319.0,2493429.0,75521.0,13793.0,619.0,1426.0
Chile,South America,19132514.0,1760615.0,92022.0,19165.0,517.0,1358.0
Colombia,South America,50936262.0,1801835.0,35374.0,7023.0,234.0,1493.0
Spain,Europe,46756648.0,7064329.0,151087.0,7582.0,610.0,617.0
Iran,Asia,84097623.0,2612763.0,31068.0,3806.0,214.0,4156.0
UK,Europe,67922029.0,17515234.0,257873.0,4537.0,683.0,73.0
Saudi Arabia,Asia,34865919.0,3635705.0,104277.0,8152.0,88.0,1915.0
Pakistan,Asia,221295851.0,2058872.0,9304.0,1274.0,27.0,809.0
Bangladesh,Asia,164851401.0,1225124.0,7432.0,1514.0,20.0,534.3934426229508
Italy,Europe,60452568.0,7099713.0,117443.0,4122.0,582.0,42.0
Turkey,Asia,84428331.0,5081802.0,60191.0,2810.0,69.0,580.0
Argentina,South America,45236884.0,794544.0,17564.0,5044.0,94.0,1150.0
Germany,Europe,83811260.0,8586648.0,102452.0,2568.0,110.0,236.0
France,Europe,65288306.0,3992206.0,61147.0,2996.0,464.0,384.0
Iraq,Asia,40306025.0,1092741.0,27111.0,3488.0,128.0,517.0
Philippines,Asia,109722719.0,1669996.0,15220.0,1089.0,20.0,239.0
Indonesia,Asia,273808365.0,1633156.0,5965.0,434.0,20.0,534.3934426229508
Canada,North America,37775022.0,4319172.0,114339.0,3139.0,237.0,2263.0
Qatar,Asia,2807805.0,511000.0,181993.0,39922.0,63.0,77.0
Kazakhstan,Asia,18798667.0,2163713.0,115099.0,5104.0,56.0,221.0
Egypt,Africa,102516525.0,135000.0,1317.0,927.0,48.0,41.0
Ecuador,South America,17668824.0,258582.0,14635.0,5124.0,333.0,378.0
Bolivia,South America,11688459.0,183583.0,15706.0,7394.0,296.0,71.0
