Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,0,Western Pacific
Queensland,Australia,-27.4698,153.0251,2020-01-22,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,2020-01-22,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,0,Western Pacific
Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,2020-01-22,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,0,0,Americas
Nova Scotia,Canada,44.682,-63.7443,2020-01-22,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,0,0,Americas
Anhui,China,31.8257,117.2264,2020-01-22,1,0,0,1,Western Pacific
Beijing,China,40.1824,116.4142,2020-01-22,14,0,0,14,Western Pacific
Chongqing,China,30.0572,107.874,2020-01-22,6,0,0,6,Western Pacific
Fujian,China,26.0789,117.9874,2020-01-22,1,0,0,1,Western Pacific
Gansu,China,35.7518,104.2861,2020-01-22,0,0,0,0,Western Pacific
Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0,26,Western Pacific
Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0,2,Western Pacific
Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0,1,Western Pacific
Hainan,China,19.1959,109.7453,2020-01-22,4,0,0,4,Western Pacific
Hebei,China,39.549,116.1306,2020-01-22,1,0,0,1,Western Pacific
Heilongjiang,China,47.862,127.7615,2020-01-22,0,0,0,0,Western Pacific
Henan,China,37.8957,114.9042,2020-01-22,5,0,0,5,Western Pacific
Hong Kong,China,22.3,114.2,2020-01-22,0,0,0,0,Western Pacific
Hubei,China,30.9756,112.2707,2020-01-22,444,17,28,399,Western Pacific
Hunan,China,27.6104,111.7088,2020-01-22,4,0,0,4,Western Pacific
Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0,0,Western Pacific
Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0,1,Western Pacific
Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0,2,Western Pacific
Jilin,China,43.6661,126.1923,2020-01-22,0,0,0,0,Western Pacific
Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0,2,Western Pacific
Macau,China,22.1667,113.55,2020-01-22,1,0,0,1,Western Pacific
Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0,1,Western Pacific
Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0,0,Western Pacific
Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0,0,Western Pacific
Shandong,China,36.3427,118.1498,2020-01-22,2,0,0,2,Western Pacific
Shanghai,China,31.202,121.4491,2020-01-22,9,0,0,9,Western Pacific
Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0,1,Western Pacific
Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0,5,Western Pacific
Tianjin,China,39.3054,117.323,2020-01-22,4,0,0,4,Western Pacific
Tibet,China,31.6927,88.0924,2020-01-22,0,0,0,0,Western Pacific
Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0,0,Western Pacific
Yunnan,China,24.974,101.487,2020-01-22,1,0,0,1,Western Pacific
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0,10,Western Pacific
Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0,0,0,0,Europe
Greenland,Greenland,71.7069,-42.6043,2020-01-22,0,0,0,0,Europe
French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,0,0,Europe
French Polynesia,France,-17.6797,149.4068,2020-01-22,0,0,0,0,Europe
Guadeloupe,France,16.265,-61.551,2020-01-22,0,0,0,0,Europe
Mayotte,France,-12.8275,45.166244,2020-01-22,0,0,0,0,Europe
New Caledonia,France,-20.904305,165.618042,2020-01-22,0,0,0,0,Europe
